scat.rich.m	scat.vol.m	scat.het.m	env.rich.m	env.vol.m	env.het.m	sd.rich.m	sd.vol.m	sd.het.m	rp.rich.m	rp.vol.m	rp.het.m	full.rich.m	full.vol.m	full.het.m	obs.rich	obs.vol	obs.het
88.9	695.66820634	0.4255344357	46.4	810.87792411	0.4892966875	54.9	582.15793396	0.0420173397	29.5	646.726767	0.0493566228	24.5	687.88186562	0.3479357542	24	779.208333333333	0.356632965909748
86.1	702.17880318	0.425262215	38.3	827.43838815	0.506433858	53.9	579.63022352	0.0434928562	27.7	667.88538119	0.0553226735	21.2	658.00975263	0.3303090661	23	780.739130434783	0.379031823489852
88.5	686.69460376	0.425616148	39.9	802.91322244	0.498457967	51.6	591.72672524	0.0459388629	26.4	677.64091173	0.0441571131	17.6	671.56780338	0.3329099553	16	818.5	0.263920821350391
88	702.85505343	0.4254445826	48.6	750.65777159	0.4536067268	49.3	597.71079819	0.0484506518	24.6	690.42647242	0.04443766	13.9	696.39007798	0.3107329847	19	772.789473684211	0.26475288960863
85.7	685.75104485	0.4249589272	70.2	653.84786275	0.4256703052	47.5	610.35909788	0.048053024	22.9	726.78443788	0.0482737698	13.3	668.30730167	0.2827272324	19	772.789473684211	0.265314041756103
89.3	700.17348475	0.4264961499	96.1	603.75657347	0.3962396535	45.2	627.53975176	0.0437949394	21.6	734.88327042	0.047119982	11	700.62028754	0.2680868671	25	627.12	0.278767481170568
87.8	676.96234103	0.4228987597	143.2	560.03013685	0.3043468583	47.9	646.67085827	0.0624933092	43.9	485.42373593	0.0526342354	56.8	467.20515884	0.1376554908	109	735.733944954128	0.326173584797865
92.6	680.26517431	0.4275292508	141.8	607.27202268	0.312388143	51.9	627.34181671	0.063470447	44.8	475.98065027	0.0605607867	56.2	478.43009	0.1510657658	117	725.923076923077	0.316565895175093
87.8	684.73848823	0.4242346012	110.3	686.76853135	0.3337600158	54.6	610.08809314	0.0625820286	44.6	489.1174179	0.0589721968	52.2	509.25760215	0.1509858346	121	732.165289256198	0.31389670761717
93.5	686.91812032	0.424559829	62.6	917.3240869	0.3501557612	57	589.67666676	0.0607043512	43.5	494.72981482	0.0512398524	40.1	629.29748028	0.162142251	116	736.336206896552	0.317809507521619
89.3	674.03797256	0.4246377593	59.8	906.93171626	0.3680764305	58.5	576.52797737	0.054576247	43.1	505.2376369	0.058267875	36.8	657.37757663	0.2171982209	77	805.116883116883	0.277939081927229
92.2	684.00421014	0.4253848543	69.2	866.6292977	0.3756696593	59.1	578.14521953	0.0600925953	41.3	530.88824622	0.0564868765	38.3	632.34538574	0.2222729314	65	809.430769230769	0.346915230907735
92.4	679.9158971	0.4263407319	53	841.30583623	0.4505769101	60.3	565.97023498	0.0569179249	38.6	547.95287928	0.0616858951	35.6	650.9247911	0.2762543937	57	751.719298245614	0.344873604227816
91.3	683.94235591	0.4257171427	50.2	832.80412297	0.4611846549	60.3	570.87579396	0.0577748846	36	567.34530549	0.0589014848	32	656.77109551	0.3073159395	43	756.511627906977	0.359154241750099
83	697.3449774	0.4255698978	50.1	805.28486236	0.4641495902	60.9	567.33520839	0.0577103885	33.9	606.14262357	0.058775136	28.9	682.56841307	0.3228156664	26	760.807692307692	0.348957458427516
87.9	669.01681278	0.4247260656	37.9	787.94966001	0.4630193499	59.3	566.07732058	0.0479819189	32	626.85905139	0.0580839444	24.5	699.19848032	0.333129715	23	803.608695652174	0.378428634671951
