scat.rich.m	scat.vol.m	scat.het.m	env.rich.m	env.vol.m	env.het.m	sd.rich.m	sd.vol.m	sd.het.m	rp.rich.m	rp.vol.m	rp.het.m	full.rich.m	full.vol.m	full.het.m	obs.rich	obs.vol	obs.het
93	684.58807563	0.4255468858	38.1	735.3349448	0.5069796549	98.9	636.35258105	0.2287378316	52.1	795.59029547	0.2667928479	31.6	680.63692774	0.2819125179	18	664.333333333333	0.240169583975465
90.8	691.05861905	0.4248349122	40.4	665.09926712	0.5144025933	95.4	639.56091135	0.2258980806	48.9	795.53755922	0.2620103522	28.3	684.47244153	0.2599327553	17	567.352941176471	0.0707415894102502
90.5	693.15726738	0.4249391062	36.1	679.67978943	0.5119421374	90.6	654.96621822	0.2255747963	46	794.12303083	0.2433538635	25.1	666.86286376	0.2364574302	21	672.904761904762	0.324873354775383
92	699.94556335	0.428195863	29.6	690.24093164	0.4951070653	83.6	669.97208653	0.217973466	43.8	802.43230571	0.2417024304	20.1	656.04380447	0.1976585877	27	558.037037037037	0.36688509007186
93.7	678.05256823	0.4241204513	37.1	646.27062448	0.4211245346	77.2	688.06752929	0.2084911206	40.8	824.47045129	0.2415922639	19	622.67605623	0.171255267	28	539.428571428571	0.35888466745818
91.9	684.29273907	0.4261938488	31.1	583.47257397	0.4663610139	70.4	720.03552587	0.1987881275	36.7	852.87741122	0.2348183153	17.3	608.35221594	0.1072135514	26	541.346153846154	0.332644470566264
92.2	703.73558826	0.424943622	187.7	444.18931885	0.2544900891	70.4	833.24734829	0.2566020724	76.5	715.78807232	0.3055908749	117.8	556.63629117	0.3004638683	108	468.12962962963	0.215721039614164
88	688.36218779	0.4260937878	183.7	502.73239736	0.2740075548	80.4	788.32234374	0.2745365792	84.1	684.28269004	0.3092297237	116.1	594.6702297	0.3199809353	119	560.613445378151	0.304035951118249
88.9	689.56875237	0.4246094915	136.5	624.03574478	0.2744062871	89.4	752.78528498	0.2805196961	89.7	663.47921713	0.3150240835	110.5	633.011661	0.3357760819	123	658.69918699187	0.331225053326974
86.6	687.35085226	0.4232610592	100.8	727.04528423	0.2974686214	94.6	731.47170541	0.2828888956	90.4	652.18327071	0.3152120946	100.3	690.05971017	0.3330546698	111	716.252252252252	0.304950310125839
91.2	693.30840741	0.427120861	93.8	718.64249224	0.2930904922	96	716.3642335	0.2775913151	91.5	655.08509862	0.3162120348	95.6	715.89408635	0.3343060098	112	765.526785714286	0.274371303698428
90.9	667.63740103	0.4240459947	84.5	785.70798711	0.301855872	100.3	702.69795929	0.2743540722	87.9	667.72617352	0.3070999658	87.6	753.74386411	0.337343168	108	791.027777777778	0.270251762372775
90.7	692.24267574	0.4245235664	87.2	782.78094753	0.3002813589	102.2	687.74764553	0.263835431	84.7	687.0329255	0.3092845169	82.5	783.5106796	0.344956645	106	814.745283018868	0.272223721959193
87.4	699.71254327	0.4235807756	66.1	924.64911008	0.3178813519	105.8	674.04307433	0.2624737765	82.4	696.59646918	0.3107358672	70.8	855.40892907	0.3542230649	90	885.944444444444	0.259301774199338
87.8	695.36489208	0.424626529	75.6	830.00626292	0.3571323897	108.9	662.10552961	0.268926451	78.5	710.51072119	0.3062246621	73.8	807.51982025	0.3539396077	75	917.333333333333	0.297821172816102
91.4	702.58837885	0.4257011546	64.2	906.51832231	0.3979399268	108.8	659.61408381	0.2615403813	75.4	726.94434399	0.3086512715	69	812.57915127	0.3501511222	68	877.779411764706	0.334121078499952
87.1	697.55351341	0.4255273134	59.4	873.32371281	0.4345710212	108.5	654.79219862	0.2581819822	71.7	751.14757264	0.302822949	67	804.06544029	0.3671239119	61	859.065573770492	0.349681918988862
90.6	669.24939609	0.4228776064	57.8	868.70980694	0.4573157869	105.4	658.13712026	0.2479322361	68.7	754.58696597	0.2972653778	61.4	802.77881287	0.3695546667	48	793.208333333333	0.36609987817813
87.2	696.12714871	0.4247587341	51.8	843.00925117	0.4754004917	105	652.56376555	0.2447191212	65.2	764.97313764	0.2855310922	55.1	797.08000581	0.3694609382	45	757.844444444444	0.38621862466859
92.4	683.67340871	0.4253521619	42.6	789.13077057	0.478799851	103.8	655.17459462	0.2448963455	61.1	770.50391357	0.275431563	47.6	770.66067789	0.3653058835	40	739.275	0.389804633510581
91.2	686.33787987	0.4252406513	39.3	720.51096637	0.4802846955	101.8	653.76444875	0.2358563269	57.3	790.79749552	0.2778536887	41.3	746.42920872	0.344599387	31	767.225806451613	0.37268734790801
89.3	688.59702158	0.4238768406	37.2	753.88514718	0.4813765673	100.6	647.72957849	0.2350108899	54.3	797.47981588	0.2708728387	35.9	706.63843592	0.3075637221	23	785.869565217391	0.315547996154797
87.7	689.93546733	0.4259795036	29.3	759.64921393	0.4747700484	96.8	650.9725233	0.233009261	51.6	806.57766099	0.2740940502	29.8	699.95111543	0.2759614166	21	668.380952380952	0.296142459471282
89.4	682.52211031	0.4243743336	24.7	689.35177521	0.4609835034	92.9	653.24595978	0.229600469	48.7	813.64817966	0.2706528656	24.7	716.83037463	0.2516133609	17	653	0.210113239218295
89.4	673.68101872	0.4248874367	30.6	678.81903003	0.4926671656	88.9	669.57217121	0.2315997911	46.4	808.92369538	0.2572584072	23.2	695.81815869	0.22892167	22	659.954545454545	0.344645680453662
88.9	660.3608996	0.4257324592	25.8	714.80678571	0.4957517465	83.8	683.52940562	0.2271684244	44.1	802.66350647	0.2458331277	20.4	647.48737544	0.2113885938	27	558.37037037037	0.359964061435677
89.4	668.15485508	0.4243851873	38.3	629.58533388	0.4486674352	77.7	699.38625566	0.216323875	40.6	835.90429564	0.2503404608	19.3	603.72950611	0.1568128779	27	551.333333333333	0.356806650787948
95.3	679.18730813	0.4250101635	31.4	526.47481603	0.4509149827	71.6	722.89611294	0.2086992718	37.6	843.52779096	0.2420136779	17.7	593.75754963	0.1330016199	26	533.076923076923	0.331329590288792
93.4	657.74100473	0.4239838514	143.6	519.77863812	0.2352793409	76.2	825.16833899	0.2696059631	86	687.7783421	0.3017249556	123.7	557.14193471	0.3022234609	105	502.980952380952	0.225058565962787
93	656.13416212	0.4218818008	152.9	558.24940415	0.2729224232	87.3	774.58183517	0.2815359036	92.2	662.0330662	0.3041855028	120.8	596.47612377	0.3225627596	120	597.775	0.326655922131069
91.4	675.2742329	0.4261026752	117.3	662.1387126	0.2808142134	92.6	751.52541419	0.2778818524	95.1	664.33444893	0.3165269035	112.4	650.12450842	0.336513805	107	710.579439252336	0.332697959059636
92.6	677.59461168	0.424848777	93.7	752.0400698	0.300047046	96.7	735.73069256	0.2854077536	95.3	669.18712465	0.3207788807	100.3	705.30587563	0.3361717834	105	751.780952380952	0.289099531922941
89.3	681.64015594	0.4241433194	88.3	796.98377056	0.2982336065	99.2	725.73941617	0.2830348343	91.8	675.88731593	0.3173986032	91.7	751.35189311	0.3366345326	104	810.048076923077	0.259512548254317
89.9	677.0062342	0.4235669603	90.6	823.13803194	0.3062080499	101.9	708.68278125	0.2740429036	89.6	685.55263489	0.3145000777	86.7	785.7916709	0.3421589022	112	800.964285714286	0.285132918612497
92.5	669.00229756	0.4241389641	94.1	816.61733469	0.3199963209	105.6	698.13786745	0.2764297165	87.1	698.40001537	0.317414852	83.3	798.44679992	0.3487266613	104	830.711538461538	0.262750907934474
86.9	690.58031055	0.4251019593	62.6	965.60104867	0.3307116422	106.2	682.16931831	0.2648123522	83.7	713.7456123	0.314366705	69.9	889.59373457	0.3623435739	87	896.724137931035	0.258774175308732
91	664.97814364	0.4218608519	71.9	877.98317016	0.3530376422	108.9	676.64627372	0.2709430042	81	727.67031562	0.3169853884	71.1	848.61674737	0.3624840812	76	918.855263157895	0.29849797938329
90.8	670.48581072	0.4238001171	64.4	905.42222592	0.3849739997	109	669.93902282	0.2658375563	76.2	746.03107884	0.3147758129	67	858.42813002	0.36251696	65	892.046153846154	0.338453987405033
88.3	675.57038464	0.4250050138	57.8	885.69054888	0.4403537227	106	676.90160188	0.2606396136	72.6	760.31610359	0.3123963206	64.3	846.4638569	0.3728292716	59	868.694915254237	0.36772499195008
89.3	690.6354963	0.4249666173	58.4	845.52500157	0.4539805638	105.2	673.3934169	0.2552978334	69.5	778.42498529	0.309296214	60.6	822.42507047	0.3758851792	49	786.510204081633	0.365929182907656
90.7	663.16563993	0.4240240132	49.7	836.43725286	0.4709056309	105.7	671.95407753	0.2576717218	65.4	784.83845947	0.2986307959	55.8	820.87107722	0.375853646	45	757.844444444444	0.386687977075163
89.7	675.63222942	0.423240335	41	785.27198621	0.4894897829	103	670.05944277	0.2472050638	62.2	788.96447099	0.2923301072	47.7	800.9791864	0.3642911085	41	726.170731707317	0.381069843006966
87.6	671.36254383	0.4240325741	36.2	749.9216426	0.478401331	101	667.63899023	0.2462534981	59.3	798.00680641	0.2950590658	40.8	778.49145226	0.3543928798	35	739.571428571429	0.364387286339756
90.2	690.02187845	0.4256797948	33.6	746.6353954	0.4884699203	100.2	664.55694358	0.2478732833	55	816.64518511	0.2832006443	34.2	734.68669869	0.318285435	29	692.48275862069	0.354144632580457
87.9	694.99489122	0.4263296386	26.2	774.86785101	0.4602088841	97.3	660.01969299	0.23896082	52	812.52726332	0.2750297437	27.4	725.83157567	0.2709958027	25	697.6	0.31115357401191
89.3	684.66598808	0.4242699322	23.9	755.5075077	0.430285404	94.2	662.32753926	0.2360540637	48.5	824.98800783	0.27397915	23.4	709.27225463	0.228466725	17	734.117647058824	0.289183697237489
88.3	687.3810732	0.4258736478	24.1	739.69276128	0.4941745614	87.6	685.89714557	0.2333775838	45.5	822.16272064	0.2600572332	21	700.23084041	0.2227424678	20	704.7	0.333483913465421
89.6	667.51078312	0.423800303	22.3	688.49093346	0.4607384848	83.8	692.20659044	0.2293869235	42.4	839.26393288	0.2635970965	19.3	635.71791632	0.1968332347	25	590.2	0.353465577098394
91.1	672.77524457	0.4223816301	27.1	638.99597628	0.4746828376	77.6	707.63523674	0.2204327873	39.9	846.84307581	0.255548818	18.6	581.80563866	0.1428877016	25	582.6	0.354678838835911
91.2	662.58126768	0.4207986336	34.7	523.14307595	0.4669920269	71.6	733.87754539	0.2151113117	36.4	864.55014537	0.2415518533	18	585.77702005	0.1424870715	26	593.192307692308	0.344120881849201
92.2	685.41599129	0.4252702629	145.9	499.2026679	0.22898167	82.2	817.04999638	0.2815349957	93.5	668.66837776	0.3004752944	134	541.67004388	0.2962685835	131	483.099236641221	0.23944430136399
88.1	694.25696954	0.4256322484	126.2	538.9037101	0.2335058559	91.4	781.33547198	0.2849782876	100.1	647.03021685	0.3003841215	129.5	579.56236072	0.3120384849	129	586.720930232558	0.3171009630271
85.5	674.60729474	0.423270223	125.3	642.74529117	0.2836645741	95.6	762.16455719	0.2873121903	98.3	661.59270799	0.3095901666	118.8	655.32534032	0.3332385179	100	751.78	0.32302589646626
91.5	693.99912921	0.425677285	98	728.56286726	0.28492374	99.7	737.57084572	0.2848139225	98.7	666.86544473	0.3170634411	103.3	718.03990678	0.3361178462	94	810.893617021277	0.269102643739359
91.8	687.93470517	0.4266493005	81.5	819.19287997	0.2903054025	102.9	725.85876177	0.2940100352	95.6	675.54499731	0.3208174302	92.1	765.78802054	0.3405889131	113	769.513274336283	0.275805760481946
88.8	675.50078746	0.4252571848	91.7	795.65120582	0.3050525089	103.3	719.04117804	0.2795034631	91.6	688.88145965	0.3163615701	86.8	802.4920994	0.3452646012	118	773.864406779661	0.289087305354762
87.1	700.18108122	0.4276896314	92.1	839.28018106	0.3139939431	107.7	700.86906214	0.2783483508	88.6	713.1322503	0.3233524954	83.4	827.44253254	0.3587538043	106	824.009433962264	0.271569875857846
86.1	676.42175339	0.4259082821	66.6	918.60099035	0.3328128284	107.4	693.42450096	0.2721591089	85.5	725.4838739	0.3223669866	73.8	881.7626802	0.370568956	83	891.939759036145	0.255914591406589
89.6	687.45182584	0.4232493623	70.3	894.43738737	0.3528051087	109.4	678.318974	0.2702344163	81.9	738.60835182	0.3225980204	71	862.47017663	0.3684887273	73	912.397260273973	0.303232018596943
91.5	692.30092596	0.423342598	70.5	870.88781712	0.410504124	109	677.62751447	0.2671520576	77.2	760.37515668	0.3186648936	68.9	851.59934592	0.372315077	63	904.555555555556	0.339073862137202
85.7	680.46133634	0.4244198102	57.1	863.85536844	0.4453111495	108.1	684.09368973	0.2726165923	73.5	770.09322809	0.3180754698	63	865.35022702	0.3805154876	58	860.120689655172	0.378328029997651
87.7	688.21892675	0.4257781113	58	811.28564058	0.4783577857	107.7	674.85200907	0.2662591468	68.9	789.92215188	0.3107071451	60	836.95564092	0.3794281342	47	783.617021276596	0.368778692687827
90.7	691.96763961	0.4261555685	57.4	791.6458725	0.4843872762	106	675.02079141	0.2667372649	65.9	787.45903254	0.300283198	55.9	827.2972443	0.3760766551	45	741.933333333333	0.376862117277179
90.9	686.45780019	0.4247951341	39.1	749.77725738	0.480347065	104.9	672.28454483	0.2585833052	62.5	792.40883599	0.2990790773	47.7	812.16896692	0.3725223897	40	690.325	0.374888284773684
94	671.02749719	0.4243611813	38.1	755.41572403	0.5004127046	102.8	673.47340059	0.2532533145	58.6	814.15532909	0.2999485948	39.6	780.93441147	0.3548659281	38	648.131578947368	0.352817782338717
88	701.54925502	0.4265107433	32.9	772.91116843	0.4972043333	101.2	669.03405909	0.247484102	55.3	835.13296935	0.2973348711	33.2	751.53795877	0.3130445424	35	691.485714285714	0.369782263495599
92.5	669.82705443	0.423665156	27.7	784.71404482	0.4755069198	95.6	676.80315754	0.2350365293	51.1	842.36131688	0.2847273051	25.6	758.40453734	0.2630948143	30	708	0.375616199576548
89.7	697.90935812	0.4259747235	25.3	755.02458378	0.4889158912	93.6	673.84696229	0.2445988358	48.4	844.11234852	0.278703979	22.1	743.43437151	0.2505943401	21	786.380952380952	0.327589384161622
84.4	695.14608058	0.4248722496	19.8	749.37573562	0.3974027911	89.3	688.83882343	0.2391601772	45.5	837.13863028	0.270525024	19.2	717.75179081	0.2186956765	18	686.388888888889	0.187001596700931
87.8	667.55983264	0.4246949191	20	702.65901878	0.4420530621	85.4	696.91680441	0.2335577391	42.4	834.87910421	0.2632654948	18.8	630.82810706	0.1914199381	23	590.695652173913	0.301890715566421
91.7	655.68654428	0.4233577819	27.6	658.69133614	0.4907046143	80.5	707.61910021	0.2343159417	40.5	846.9688888	0.2636521862	18.9	588.9657795	0.1657997471	24	575.833333333333	0.339254803329968
90.3	689.41175579	0.4245775665	30.5	541.67234089	0.4782058896	73.1	730.95660099	0.2291681043	35.9	883.91766126	0.2642472555	17.8	553.0654072	0.1237496028	25	554.28	0.331642354520063
88.5	695.10025138	0.4253495037	182.6	449.773799	0.2397629117	88	813.66359963	0.2967840672	105.7	632.35452408	0.2926593564	152.2	503.89597036	0.2766234868	157	451.108280254777	0.247801991428989
89.2	689.48361364	0.4243071679	121.5	588.14326425	0.2433606958	96.8	783.3807446	0.2978933624	111.6	620.65137431	0.2937676936	142.3	560.78947414	0.2998410964	142	570.922535211268	0.319135986460842
89.1	688.18888063	0.4236381406	141.4	603.40649712	0.2843353759	99.7	764.96830904	0.2931048058	106.8	650.37723878	0.3031920653	124.1	656.21588727	0.3353467713	107	754.411214953271	0.342837405343744
86.8	706.08026376	0.4259155454	100.7	711.84165734	0.2994496716	103.9	743.01835828	0.2895591212	101	680.61537054	0.317250835	105.5	734.40278495	0.3422797101	92	844.489130434783	0.254133869080234
88.3	705.86541255	0.4252118806	85.4	863.6454063	0.3153959927	104.8	734.74512579	0.2846930192	98	684.94711001	0.3233497743	91	807.44283468	0.3494030458	114	773.754385964912	0.279800018020452
87.8	681.56068661	0.4249944072	92.9	810.79894834	0.3327195662	106.7	722.763155	0.2874911611	92.4	699.32716326	0.3162688569	84.9	835.23609226	0.3572561869	120	762.616666666667	0.289699154813511
89.1	686.26779406	0.4263717499	90.6	821.17820524	0.3307321012	109.9	708.84222624	0.2829088377	87.8	721.18678045	0.3172446386	80	864.10376554	0.3611137163	104	821.307692307692	0.27657671993561
88.1	688.98569074	0.4243643857	60.4	924.00005218	0.3613734334	110.8	696.68816911	0.2795470185	85.5	734.48041339	0.3234502999	73.5	888.6599231	0.3801543237	81	906.481481481482	0.258842763961067
86.6	664.2775577	0.4258327827	67.6	860.55444713	0.4061750997	109.9	698.69229553	0.2811810792	80.6	756.95494204	0.3231273222	71	875.43734025	0.3755817151	69	951.275362318841	0.299613479781728
90.3	672.90996843	0.4240077251	52.1	900.35839566	0.445726717	110.5	684.47259783	0.2708775299	77.7	767.03436167	0.3195657051	65.4	886.90403289	0.3809431269	57	917.859649122807	0.348780303893243
85.9	684.30301699	0.4235913442	58.4	853.19681847	0.464253192	109.2	684.97273463	0.2711768702	73.6	781.31905098	0.3152741715	61.9	862.27397728	0.3793782334	58	860.120689655172	0.377940460321193
90.1	672.05904276	0.4243397952	65.3	827.08201133	0.4644791284	109.3	683.69005153	0.2714265249	69.9	792.40978957	0.31595556	58.9	848.37338361	0.3824529666	46	764.826086956522	0.367538482782717
83.9	702.09641258	0.4243914485	56.7	815.50794522	0.482043928	107.3	685.45010666	0.2707699055	66.3	803.83048962	0.3049118456	54.5	834.31823464	0.3778494347	43	742.627906976744	0.391495495240108
90.8	690.58579575	0.4249682164	42.2	821.54109588	0.498244901	104.1	683.3062873	0.2594397648	63.2	802.52764948	0.3008581103	47.1	828.63573712	0.3728581232	35	710.314285714286	0.368653023094438
83.5	691.97173175	0.4268619036	46	740.80245641	0.5090739336	102.1	682.17031933	0.255384381	58.2	828.25662828	0.2983511804	40.3	825.08822587	0.373719678	35	666.971428571429	0.371702967492381
87.9	680.98257145	0.4238692574	38.8	774.80383526	0.5053031803	100.1	680.64234143	0.2519225997	54.8	838.93941171	0.2948697987	31.6	819.62269674	0.3329554409	31	713.064516129032	0.371309045940956
91.1	674.47732333	0.4242692362	28.1	742.53048448	0.4935400398	97.1	674.00573141	0.2405074727	50.7	856.88413663	0.2898306588	23.8	791.21639982	0.2796021807	28	710.892857142857	0.378516142511975
87	682.18632737	0.4241339033	22.8	725.36306371	0.4948009733	94	676.95002399	0.2443892305	47.2	860.65947854	0.2831605007	20.7	766.19494542	0.2461227106	21	804.238095238095	0.377611238731978
91.1	688.66775393	0.4255487344	22	782.47138592	0.4825888407	91.4	678.8942877	0.2395580155	44.7	859.44036456	0.2777292042	19.2	716.48043163	0.2023199341	15	714.2	0.150072069991422
90	667.35268671	0.4226344067	21.8	644.0417152	0.4107994492	84.9	704.72230618	0.2376151022	42.7	862.71304006	0.2793421009	18.7	627.18421291	0.1957142312	18	682.666666666667	0.193163806011233
89.2	666.93001996	0.4242389805	24.1	600.19661592	0.412734969	79.4	719.98482825	0.2386974269	39.4	877.24148927	0.2780395265	18.9	574.55492357	0.141530061	20	626.4	0.322090101430018
84.6	700.98420366	0.4245859406	26.8	532.50237566	0.459158008	72.1	746.87284421	0.2371186902	35.4	907.66481785	0.267452953	17.9	554.87012973	0.1168521104	24	546.875	0.339753699857353
91.9	680.1945839	0.4259178285	122.8	599.23703325	0.2409501991	63.7	916.92409627	0.349074705	84.1	755.31055135	0.2734532085	97.4	698.59129296	0.1542986579	113	497.106194690266	0.103353186397951
92.4	698.87235154	0.4244271949	153	480.26609859	0.2214459276	65	910.23219765	0.3505563244	85	745.317219	0.2631142871	110	626.30639325	0.1295118399	122	463.245901639344	0.0970992395000003
91.7	682.6985582	0.4247774627	228.4	398.08654517	0.2745276101	86.3	838.05905018	0.3070195552	110	646.00482597	0.2860131675	166.3	483.08194113	0.2537851086	167	409.25748502994	0.193710085895754
85	722.10570783	0.428055617	159.9	552.86715142	0.2669162264	95.3	795.63251553	0.3072933687	122.5	611.10540562	0.2924127057	166.7	506.64274802	0.2699838659	160	479.76875	0.260182890129067
85.3	671.46161761	0.4231982228	137.6	567.0652009	0.2615633136	101.3	774.10507072	0.3007232276	124.2	603.82425661	0.293917599	154.4	538.29664272	0.2631961985	157	518.923566878981	0.309383461766343
88	697.51402304	0.4270358559	138.8	623.83791896	0.2894288032	103.6	766.23929069	0.2985654988	116	639.35635997	0.3027500676	128.3	660.40869862	0.3326207092	112	742.455357142857	0.341380218712241
91.4	678.90215311	0.4251588418	89.8	780.16122313	0.2998378001	105.5	751.36068062	0.2904733885	109.2	675.15228065	0.3124071739	105.3	765.16069243	0.3438963079	90	867.711111111111	0.247464387528919
90.1	668.08423429	0.4243486748	86.6	778.37467163	0.3125766289	107.8	739.4246325	0.2886410818	102.4	696.92923701	0.3165753458	94.1	819.47128695	0.3569559514	105	828.704761904762	0.258125673474799
89.2	694.14513558	0.4242964159	84.4	840.48291202	0.3317882919	108.9	730.81707563	0.2882906673	96.8	706.81649197	0.3126229599	85.9	847.06272317	0.365569615	111	842.207207207207	0.267177622670707
88.9	689.16811484	0.425130237	73.5	897.71399852	0.3228209067	110.7	715.80569671	0.284025991	90.8	728.81510482	0.3168792716	80.3	886.06554277	0.3765571737	97	861.845360824742	0.257603194967839
89.9	682.42250012	0.4242205828	65	924.75264512	0.358055738	111.9	710.4686066	0.28866587	87.7	742.46706563	0.3208602492	72.9	904.31684841	0.3790068647	84	888.535714285714	0.266259693268044
86.1	674.3353783	0.4248927229	61.4	903.32805634	0.4007920042	111.9	696.81808112	0.2798997765	81.5	767.77766306	0.3232812369	70.4	896.33188373	0.3773222743	68	973.220588235294	0.306148128318
91.3	697.7363571	0.4239167023	57.1	904.6230006	0.4205504298	110.2	698.82324458	0.2763067602	78.3	768.22634569	0.3185871024	64.9	900.43216533	0.3780409967	59	969.796610169491	0.350720886309072
87.3	685.75003468	0.4243856833	59.1	886.89864789	0.4543593687	111	688.95075751	0.2737503871	74.9	776.21348491	0.3157272262	60.3	898.74825824	0.3829474426	54	896.203703703704	0.375274916603053
89.2	681.89173563	0.4245132642	68.7	806.5619346	0.4670372789	111.9	676.85060511	0.2740122758	69.2	806.45159915	0.3165183887	57.3	857.63275227	0.3814033132	48	749.25	0.367914224173893
87.4	671.46983592	0.4239319149	54.7	786.01829917	0.4859591851	108.5	687.13586127	0.2695551945	66.2	822.94242871	0.3141364918	53.1	848.35491415	0.376097575	43	742.93023255814	0.396396700213623
87.5	674.99449565	0.4240150018	46.1	787.56743145	0.5004564414	106.8	682.5652065	0.2657820104	62	834.84394404	0.3158557598	46.6	841.12736335	0.3702500574	35	659.514285714286	0.35215321520799
90.7	660.64332971	0.4240230972	35.1	784.77779241	0.501918305	103.9	681.71648675	0.2590081808	58	852.53440481	0.3112071414	39.8	817.47059907	0.3642669515	28	670.821428571429	0.316041199800851
87.7	680.28148453	0.4247423527	34.2	746.19358429	0.5086215736	101.7	681.91913877	0.2541914603	54.3	866.67871012	0.309732076	31.7	798.84329315	0.3236389583	28	674.321428571429	0.359134180493401
88	679.09317094	0.4250301642	26	725.62776203	0.4727779497	99.3	678.61150177	0.2493710421	50.3	873.63156609	0.2930848182	24.1	774.19099495	0.2794383818	24	703.166666666667	0.364001528569286
89.9	678.51206841	0.4265588974	21.6	784.32644512	0.4631530116	94.6	687.59315062	0.2467965797	47.9	872.95801837	0.2919430763	20.5	768.08376758	0.2486672907	20	761.5	0.307977395585253
90.9	675.27371098	0.4236974153	22	636.13442482	0.3971757928	92.2	684.96439447	0.2406568624	43.9	889.77407126	0.2794651722	19.3	730.35208916	0.20645829	15	705.533333333333	0.141021886636534
92.1	690.14975201	0.4250259724	20.4	664.76257173	0.3862075249	83.8	712.8376971	0.238759678	42.3	888.30324236	0.2861637126	19.2	647.06697069	0.2033236585	15	799.333333333333	0.209052854754443
89	685.31820918	0.4253838522	22.1	639.63113121	0.4196651486	79.7	725.13257806	0.250114137	39.1	898.40636537	0.27991814	19.2	579.96101767	0.1688399641	18	694.666666666667	0.235770239047322
91.3	669.4624928	0.4236874088	38.1	504.7594485	0.4247276011	71	751.15967596	0.24207898	35.6	944.87480392	0.2872829692	18.9	560.89764518	0.151601053	22	607.954545454545	0.371021112619038
89.7	693.72280418	0.424977999	100.7	712.8575406	0.2557941272	68.5	887.69940347	0.350328714	93.8	741.21664475	0.2819077275	91.8	747.96470824	0.1626204224	115	513.313043478261	0.129840052518966
90.9	678.93532092	0.4236095303	110.7	716.52879156	0.270549341	74.9	870.34842084	0.3517782709	100.9	710.88564254	0.2749417993	106.2	704.12337822	0.1566660294	115	506.626086956522	0.113144015232432
90.8	666.9654523	0.425659225	113.7	619.29407834	0.221688526	78.2	856.79554834	0.3474041965	106.7	683.65437986	0.2663744672	128.7	601.71427429	0.1431965205	124	462.370967741935	0.0904478312969305
87.5	687.91199773	0.4254904916	124.6	522.80074769	0.2275163137	79.6	855.95476323	0.3417522733	109	669.00116388	0.2610083058	139.9	538.4276023	0.123334223	136	437.757352941176	0.0977125385223357
88.8	680.46672781	0.4248688712	140.8	466.42846332	0.2560562481	83.9	844.32507849	0.3369474585	113	655.6132573	0.2588722302	140.4	509.36865584	0.1119309394	146	418.842465753425	0.0967072280754099
87.3	672.91591245	0.4223941577	154.1	473.13017043	0.2676615202	84.6	841.89189516	0.336756469	115.5	651.25436991	0.266474882	146.5	509.57596795	0.1351096958	164	405.878048780488	0.120708805010647
92.4	679.55092358	0.4262341555	146.2	468.08297346	0.2310031998	88.7	831.84607142	0.3289496399	118.4	645.98608204	0.2701431885	151.3	501.935253	0.1556573728	172	389.244186046512	0.133454399478673
89.6	671.14095414	0.423827787	120.5	490.41501834	0.1999572982	92.4	822.74445939	0.3227525618	120.8	640.2991004	0.2803413191	144.6	493.72742438	0.1607817691	180	372.777777777778	0.154096452032248
85.7	671.00983921	0.4222998199	129	503.86811551	0.2068810262	97.7	804.54744137	0.3181836858	125.8	620.92685957	0.2836644951	154.5	500.36226889	0.2005288377	176	410.068181818182	0.180656614738414
88.3	670.54757476	0.4224503425	120.3	595.78320261	0.2368428316	101.2	790.29534678	0.3105057269	127.8	614.57733166	0.2862255181	151.8	548.56840168	0.2193939489	135	548.859259259259	0.261521955936172
87.4	700.43224972	0.4248491198	110.3	632.57194786	0.2491116133	105.6	766.14349513	0.3058108046	130.3	604.36054605	0.2918036621	142.6	579.63887994	0.2290023512	141	613.553191489362	0.344100314644842
91.4	688.98893911	0.4254739572	124	723.33311002	0.3147157896	108	750.11842402	0.2951353002	120.2	646.01342409	0.3040066378	117.7	735.86436357	0.3181265585	122	747.409836065574	0.342488903920658
86.6	667.12024597	0.4204894282	93.6	781.66209089	0.3043693059	108.7	747.42885315	0.2906064827	113.1	681.35219546	0.314426881	104.2	792.1027446	0.3507856107	100	856.72	0.285679523571852
89.4	695.51381685	0.4246165717	82.4	842.60983506	0.3143845683	110.6	740.03475316	0.2889310779	104.7	704.67787817	0.3182988232	92.7	845.21401836	0.3601905368	102	847.980392156863	0.253912955486302
95	675.76736855	0.4240266957	73.7	891.8633378	0.3327515552	111.2	732.93228699	0.288523928	99	726.94837794	0.320592829	82.6	890.19629567	0.3660795573	107	840.775700934579	0.255953911604814
90.5	665.03407181	0.4227329254	71.3	922.91969434	0.3404120508	113.9	718.95024693	0.2859101876	94.6	738.00262063	0.3205115358	75.3	937.18395991	0.3744580994	92	864.141304347826	0.256297873874478
89.8	682.2204623	0.4250819298	58.8	967.96919174	0.3681709344	112.2	717.5772605	0.280820549	90.1	745.30366001	0.3175628506	68.3	960.20725243	0.3822255345	81	907.061728395062	0.265093846666568
89.4	674.3208118	0.425123993	60.6	934.53246595	0.4007391423	112	707.51651808	0.2775403757	83.6	770.83717659	0.3256947624	68.4	911.75697322	0.377156291	69	979.521739130435	0.310960958915249
87.1	700.10663469	0.4274360246	56.9	912.86762647	0.429237416	111.7	701.54907719	0.2683126733	78.8	789.31023027	0.3261070431	64.7	905.73324965	0.3838767689	60	979.85	0.339603421716358
